,words,Corrected_IOB2_Labels
33027,return,O
33028,to,O
33029,home,O
33030,(,O
33031,Code,O
33032,:,O
33033,80014,O
33034,),O
33035,Remote,B-COMPONENT
33036,controller,O
33037,signal,O
33038,lost,O
33039,(,O
33040,Code,O
33041,:,O
33042,30029,O
33043,),O
33044,Remote,B-COMPONENT
33045,controller,O
33046,signal,O
33047,weak,O
33048,.,O
33049,Adjust,B-ACTION
33050,remote,O
33051,controller,O
33052,antennas,O
33053,(,O
33054,Code,O
33055,:,O
33056,80002,O
33057,),O
33058,Remote,B-COMPONENT
33059,ID,B-PARAMETER
33060,functionality,B-FUNCTION
33061,normal,O
33062,(,O
33063,Code,O
33064,:,O
33065,1B080003,O
33066,),O
33067,Remote,B-COMPONENT
33068,ID,B-PARAMETER
33069,functionality,B-FUNCTION
33070,normal,O
33071,(,O
33072,Code,O
33073,:,O
33074,30331,O
33075,),O
33076,Restart,B-ACTION
33077,aircraft,O
33078,and,O
33079,DJI,B-PARAMETER
33080,Fly,B-ACTION
33081,(,O
33082,Code,O
33083,:,O
33084,30226,O
33085,),O
33086,RTH,B-STATE
33087,altitude,O
33088,adjusted,B-ACTION
33089,to,O
33090,nnn,O
33091,(,O
33092,Code,O
33093,:,O
33094,120852,O
33095,),O
33096,Running,B-ACTION
33097,Flight,I-ACTION
33098,Simulator,B-COMPONENT
33099,.,O
33100,Restart,B-ACTION
33101,aircraft,O
33102,to,O
33103,take,O
33104,off,O
33105,(,O
33106,Code,O
33107,:,O
33108,30086,O
33109,),O
33110,SD,B-PARAMETER
33111,card,O
33112,full,O
33113,.,O
33114,Change,B-ACTION
33115,card,O
33116,or,O
33117,delete,B-ACTION
33118,files,B-COMPONENT
33119,(,O
33120,Code,O
33121,:,O
33122,10027,O
33123,),O
33124,SD,B-PARAMETER
33125,card,O
33126,speed,B-PARAMETER
33127,low,O
33128,.,O
33129,Change,B-ACTION
33130,card,O
33131,(,O
33132,Code,O
33133,:,O
33134,10028,O
33135,),O
33136,Setting,B-FUNCTION
33137,new,O
33138,Maximum,O
33139,Flight,B-ACTION
33140,Altitude,B-PARAMETER
33141,to,O
33142,nnn,O
33143,(,O
33144,nnn,O
33145,),O
33146,Setting,B-FUNCTION
33147,new,O
33148,Return,B-ACTION
33149,-,O
33150,To,O
33151,-,O
33152,Home,B-COMPONENT
33153,altitude,O
33154,to,O
33155,nnn,O
33156,(,O
33157,nnn,O
33158,),O
33159,Sprayer,B-COMPONENT
33160,turned,O
33161,ON,O
33162,Strong,B-STATE
33163,wind,O
33164,warning,B-ISSUE
33165,.,O
33166,Aircraft,O
33167,unable,O
33168,to,O
33169,return,O
33170,to,O
33171,home,O
33172,automatically,O
33173,.,O
33174,Lower,O
33175,altitude,O
33176,immediately,O
33177,and,O
33178,return,O
33179,to,O
33180,home,O
33181,manually,O
33182,(,O
33183,Code,O
33184,:,O
33185,120596,O
33186,),O
33187,Strong,B-STATE
33188,wind,O
33189,warning,B-ISSUE
33190,.,O
33191,Aircraft,O
33192,unable,O
33193,to,O
33194,return,O
33195,to,O
33196,home,O
33197,automatically,O
33198,.,O
33199,Lower,O
33200,altitude,O
33201,immediately,O
33202,and,O
33203,return,O
33204,to,O
33205,home,O
33206,manually,O
33207,(,O
33208,Code,O
33209,:,O
33210,30149,O
33211,),O
33212,Subject,B-PARAMETER
33213,lost,O
33214,.,O
33215,Reselect,B-ACTION
33216,subject,B-PARAMETER
33217,(,O
33218,Code,O
33219,:,O
33220,800018,O
33221,),O
33222,Unable,O
33223,to,O
33224,take,O
33225,off,O
33226,(,O
33227,Code,O
33228,:,O
33229,30064,O
33230,),O
33231,Unable,O
33232,to,O
33233,take,O
33234,off,O
33235,in,O
33236,low,O
33237,light,B-PARAMETER
33238,environment,B-STATE
33239,.,O
33240,Ensure,B-ACTION
33241,there,O
33242,are,O
33243,no,O
33244,metal,O
33245,and,O
33246,magnetic,O
33247,objects,O
33248,near,O
33249,the,O
33250,aircraft,O
33251,and,O
33252,calibrate,O
33253,compass,O
33254,(,O
33255,Code,O
33256,:,O
33257,30096,O
33258,),O
33259,Unable,O
33260,to,O
33261,take,O
33262,off(code,B-COMPONENT
33263,:,O
33264,110,O
33265,),O
33266,(,O
33267,Code,O
33268,:,O
33269,30064,O
33270,),O
33271,Vision,B-COMPONENT
33272,sensor(s,I-COMPONENT
33273,),O
33274,blocked,O
33275,.,O
33276,Fly,B-ACTION
33277,with,O
33278,caution,O
33279,(,O
33280,Code,O
33281,:,O
33282,180038,O
33283,),O
33284,Weak,O
33285,image,O
33286,transmission,B-COMPONENT
33287,signal,O
33288,.,O
33289,Adjust,B-ACTION
33290,antennas,O
33291,(,O
33292,Code,O
33293,:,O
33294,80004,O
33295,),O
33296,Weak,O
33297,signal,O
33298,.,O
33299,Adjust,B-ACTION
33300,antennas,O
33301,(,O
33302,Code,O
33303,:,O
33304,80016,O
33305,),O
33306,Weak,O
33307,signal,O
33308,.,O
33309,Make,O
33310,sure,O
33311,the,O
33312,remote,O
33313,controller,O
33314,is,O
33315,facing,B-ACTION
33316,aircraft,O
33317,and,O
33318,avoid,B-ACTION
33319,blocking,I-ACTION
33320,the,O
33321,signal,O
33322,(,O
33323,Code,O
33324,:,O
33325,80016,O
33326,),O
33327,Yaw,B-COMPONENT
33328,Error,B-ISSUE
33329,Accelerator,O
33330,is,O
33331,Over,O
33332,Range,B-PARAMETER
33333,Account,O
33334,not,O
33335,logged,O
33336,in,O
33337,.,O
33338,Flight,B-ACTION
33339,altitude,O
33340,and,O
33341,distance,O
33342,restricted,O
33343,to,O
33344,nnn,O
33345,and,O
33346,nnn,O
33347,.,O
33348,Check,B-ACTION
33349,and,O
33350,log,O
33351,in,O
33352,(,O
33353,Code,O
33354,:,O
33355,3000003,O
33356,),O
33357,Aircraft,O
33358,in,O
33359,Altitude,B-PARAMETER
33360,Zone,B-COMPONENT
33361,(,O
33362,Altitude,B-PARAMETER
33363,limit,O
33364,:,O
33365,nnn,O
33366,),O
33367,.,O
33368,Fly,B-ACTION
33369,with,O
33370,caution,O
33371,(,O
33372,Code,O
33373,:,O
33374,190012,O
33375,),O
33376,Aircraft,O
33377,in,O
33378,Altitude,B-PARAMETER
33379,Zone,B-COMPONENT
33380,(,O
33381,nnn,O
33382,),O
33383,.,O
33384,Fly,B-ACTION
33385,with,O
33386,caution,O
33387,(,O
33388,Code,O
33389,:,O
33390,190001,O
33391,),O
33392,Aircraft,O
33393,in,O
33394,Altitude,B-PARAMETER
33395,Zone,B-COMPONENT
33396,.,O
33397,Max,O
33398,altitude,O
33399,set,O
33400,to,O
33401,nnn,O
33402,(,O
33403,Code,O
33404,:,O
33405,30015,O
33406,),O
33407,Aircraft,O
33408,in,O
33409,Attitude,B-PARAMETER
33410,mode,O
33411,.,O
33412,Unable,O
33413,to,O
33414,hover,O
33415,.,O
33416,Fly,B-ACTION
33417,with,O
33418,caution,O
33419,(,O
33420,Code,O
33421,:,O
33422,30004,O
33423,),O
33424,Aircraft,O
33425,in,O
33426,Authorization,B-ISSUE
33427,Zone,B-COMPONENT
33428,.,O
33429,Exit,B-ACTION
33430,zone,O
33431,promptly,O
33432,(,O
33433,Code,O
33434,:,O
33435,190004,O
33436,),O
33437,Aircraft,O
33438,in,O
33439,Authorization,B-ISSUE
33440,Zone,B-COMPONENT
33441,.,O
33442,Unable,O
33443,to,O
33444,take,O
33445,off,O
33446,before,O
33447,unlocking,O
33448,(,O
33449,Code,O
33450,:,O
33451,3000005,O
33452,),O
33453,Aircraft,O
33454,in,O
33455,high,O
33456,interference,O
33457,environment,B-STATE
33458,.,O
33459,Fly,B-ACTION
33460,with,O
33461,caution,O
33462,(,O
33463,Code,O
33464,:,O
33465,80015,O
33466,),O
33467,Aircraft,O
33468,in,O
33469,high,O
33470,interference,O
33471,environment,B-STATE
33472,.,O
33473,Manually,O
33474,adjust,B-ACTION
33475,flight,O
33476,route,B-PARAMETER
33477,or,O
33478,return,O
33479,to,O
33480,home,O
33481,(,O
33482,Code,O
33483,:,O
33484,80015,O
33485,),O
33486,Aircraft,O
33487,in,O
33488,Restricted,O
33489,Zone,B-COMPONENT
33490,.,O
33491,Unable,O
33492,to,O
33493,take,O
33494,off,O
33495,.,O
33496,Check,B-ACTION
33497,map,O
33498,to,O
33499,find,O
33500,Recommended,B-STATE
33501,Zones,B-COMPONENT
33502,(,O
33503,Code,O
33504,:,O
33505,3000006,O
33506,),O
33507,Aircraft,O
33508,in,O
33509,Restricted,O
33510,Zones,B-COMPONENT
33511,.,O
33512,Check,B-ACTION
33513,map,O
33514,to,O
33515,find,O
33516,Recommended,B-STATE
33517,Zones,B-COMPONENT
33518,(,O
33519,Code,O
33520,:,O
33521,30083,O
33522,),O
33523,"""",O
33524,Aircraft,O
33525,max,O
33526,power,O
33527,load,O
33528,reached,O
33529,.,O
33530,Decrease,B-ACTION
33531,altitude,O
33532,and,O
33533,fly,O
33534,with,O
33535,caution,O
33536,.,O
33537,If,O
33538,this,O
33539,issue,O
33540,persists,O
33541,",",O
33542,land,O
33543,immediately,O
33544,(,O
33545,Code,O
33546,:,O
33547,30168,O
33548,),O
33549,"""",O
33550,Aircraft,O
33551,not,O
33552,linked,O
33553,to,O
33554,phone,O
33555,number,O
33556,.,O
33557,Flight,B-ACTION
33558,range,O
33559,restricted,O
33560,.,O
33561,Check,B-ACTION
33562,and,O
33563,link,O
33564,phone,O
33565,number,O
33566,(,O
33567,Code,O
33568,:,O
33569,3000004,O
33570,),O
33571,Aircraft,O
33572,pitch,O
33573,angle,O
33574,too,O
33575,large,O
33576,.,O
33577,Ensure,B-ACTION
33578,aircraft,O
33579,is,O
33580,level,O
33581,before,O
33582,taking,O
33583,off,O
33584,(,O
33585,Code,O
33586,:,O
33587,30087,O
33588,),O
33589,Aircraft,O
33590,power,O
33591,insufficient,B-PARAMETER
33592,.,O
33593,Fly,B-ACTION
33594,with,O
33595,caution,O
33596,(,O
33597,Code,O
33598,:,O
33599,30168,O
33600,),O
33601,Aircraft,O
33602,processor,O
33603,chip,B-COMPONENT
33604,overheated,O
33605,.,O
33606,Power,B-PARAMETER
33607,off,O
33608,aircraft,O
33609,and,O
33610,wait,O
33611,for,O
33612,temperature,O
33613,to,O
33614,return,O
33615,to,O
33616,normal,O
33617,(,O
33618,Code,O
33619,:,O
33620,30136)Aircraft,O
33621,processor,O
33622,overheated,O
33623,.,O
33624,Automatically,O
33625,returning,O
33626,to,O
33627,home,O
33628,(,O
33629,Code,O
33630,:,O
33631,30185,O
33632,),O
33633,Aircraft,O
33634,takeoff,O
33635,altitude,O
33636,error,O
33637,.,O
33638,Restart,B-ACTION
33639,aircraft,O
33640,(,O
33641,Code,O
33642,:,O
33643,30235,O
33644,),O
33645,Aircraft,O
33646,unable,O
33647,to,O
33648,return,O
33649,to,O
33650,home,O
33651,automatically,O
33652,.,O
33653,Lower,O
33654,altitude,O
33655,immediately,O
33656,and,O
33657,return,O
33658,to,O
33659,home,O
33660,manually,O
33661,(,O
33662,Code,O
33663,:,O
33664,120596,O
33665,),O
33666,Aircraft,O
33667,will,O
33668,automatically,O
33669,descend,B-ACTION
33670,in,O
33671,nnn,O
33672,Altitude,B-PARAMETER
33673,Zone,B-COMPONENT
33674,nnn,O
33675,Barometer,B-COMPONENT
33676,Dead,O
33677,in,O
33678,Air,O
33679,Barometer,B-COMPONENT
33680,initialization,O
33681,failed,O
33682,.,O
33683,Restart,B-ACTION
33684,aircraft,O
33685,(,O
33686,Code,O
33687,:,O
33688,30042,O
33689,),O
33690,Barometer,B-COMPONENT
33691,initialization,O
33692,failed,O
33693,.,O
33694,Restart,B-ACTION
33695,aircraft,O
33696,(,O
33697,Code,O
33698,:,O
33699,30047,O
33700,),O
33701,Battery,B-COMPONENT
33702,cells,I-COMPONENT
33703,undervoltage,B-ISSUE
33704,(,O
33705,Code,O
33706,:,O
33707,110011,O
33708,),O
33709,"""",O
33710,Battery,B-COMPONENT
33711,communication,O
33712,malfunction,B-ISSUE
33713,.,O
33714,Reinstall,B-ACTION
33715,battery,O
33716,.,O
33717,If,O
33718,the,O
33719,issue,O
33720,persists,O
33721,",",O
33722,replace,B-ACTION
33723,battery,O
33724,(,O
33725,Code,O
33726,:,O
33727,110007,O
33728,),O
33729,"""",O
33730,Battery,B-COMPONENT
33731,error,O
33732,.,O
33733,Aircraft,O
33734,returning,O
33735,to,O
33736,home,O
33737,automatically,O
33738,(,O
33739,Code,O
33740,:,O
33741,110024,O
33742,),O
33743,Battery,B-COMPONENT
33744,level,O
33745,low,O
33746,.,O
33747,Charge,B-ACTION
33748,battery,O
33749,(,O
33750,Code,O
33751,:,O
33752,30078,O
33753,),O
33754,Battery,B-COMPONENT
33755,overheating,O
33756,.,O
33757,Stop,B-ACTION
33758,flying,O
33759,and,O
33760,wait,O
33761,for,O
33762,battery,O
33763,temperature,O
33764,to,O
33765,return,O
33766,to,O
33767,normal,O
33768,(,O
33769,Code,O
33770,:,O
33771,110002,O
33772,),O
33773,Battery,B-COMPONENT
33774,power,O
33775,limit,O
33776,will,O
33777,automatically,O
33778,reduce,O
33779,the,O
33780,aircraft,O
33781,'s,O
33782,mobility,O
33783,to,O
33784,ensure,O
33785,flight,O
33786,safety,O
33787,Battery,B-COMPONENT
33788,power,O
33789,low,O
33790,.,O
33791,Check,B-ACTION
33792,battery,O
33793,status,B-STATE
33794,and,O
33795,charge,B-ACTION
33796,or,O
33797,warm,B-STATE
33798,up,O
33799,battery,O
33800,(,O
33801,Code,O
33802,:,O
33803,30078,O
33804,),O
33805,Battery,B-COMPONENT
33806,power,O
33807,restricted,O
33808,.,O
33809,Aircraft,O
33810,performance,O
33811,decreased,O
33812,to,O
33813,ensure,O
33814,flight,O
33815,safety,O
33816,.,O
33817,Return,B-ACTION
33818,to,O
33819,home,O
33820,promptly,O
33821,(,O
33822,Code,O
33823,:,O
33824,110013,O
33825,),O
33826,Battery,B-COMPONENT
33827,temperature,O
33828,too,O
33829,low,O
33830,.,O
33831,Fly,B-ACTION
33832,with,O
33833,caution,O
33834,(,O
33835,Code,O
33836,:,O
33837,110023,O
33838,),O
33839,Battery,B-COMPONENT
33840,:,O
33841,Battery,B-COMPONENT
33842,Error,B-ISSUE
33843,.,O
33844,Return,B-ACTION
33845,home,O
33846,and,O
33847,land,O
33848,soon,O
33849,.,O
33850,View,B-COMPONENT
33851,the,O
33852,checklist,O
33853,after,O
33854,landing,O
33855,Camera,B-COMPONENT
33856,not,O
33857,calibrated,B-ACTION
33858,.,O
33859,Image,B-COMPONENT
33860,quality,O
33861,affected,O
33862,.,O
33863,Contact,B-ACTION
33864,DJI,B-PARAMETER
33865,Support,B-FUNCTION
33866,for,O
33867,assistance,O
33868,(,O
33869,Code,O
33870,:,O
33871,10016,O
33872,),O
33873,Compass,B-COMPONENT
33874,Error,B-ISSUE
33875,Compass,B-COMPONENT
33876,error,O
33877,.,O
33878,Ensure,B-ACTION
33879,there,O
33880,are,O
33881,no,O
33882,metal,O
33883,or,O
33884,magnetic,O
33885,objects,O
33886,near,O
33887,the,O
33888,aircraft,O
33889,and,O
33890,calibrate,O
33891,it,O
33892,before,O
33893,use,O
33894,(,O
33895,Code,O
33896,:,O
33897,30060,O
33898,),O
33899,Compass,B-COMPONENT
33900,initialization,O
33901,failed,O
33902,.,O
33903,Restart,B-ACTION
33904,aircraft,O
33905,(,O
33906,Code,O
33907,:,O
33908,30063,O
33909,),O
33910,Critical,O
33911,Low,O
33912,Battery,B-COMPONENT
33913,(,O
33914,Code,O
33915,:,O
33916,30032,O
33917,),O
33918,Critical,O
33919,Low,O
33920,Battery,B-COMPONENT
33921,(,O
33922,Code,O
33923,:,O
33924,30183,O
33925,),O
33926,Critical,O
33927,low,O
33928,battery,O
33929,voltage,O
33930,(,O
33931,Code,O
33932,:,O
33933,30035,O
33934,),O
33935,Critical,O
33936,low,O
33937,battery,O
33938,.,O
33939,Aircraft,O
33940,in,O
33941,Auto,B-ACTION
33942,Power,B-PARAMETER
33943,Off,O
33944,Protection,B-PARAMETER
33945,.,O
33946,Forced,O
33947,landing,O
33948,in,O
33949,progress,O
33950,(,O
33951,Code,O
33952,:,O
33953,110014,O
33954,),O
33955,Critical,O
33956,low,O
33957,battery,O
33958,.,O
33959,Aircraft,O
33960,landing,O
33961,automatically,O
33962,(,O
33963,Code,O
33964,:,O
33965,30033,O
33966,),O
33967,Critical,O
33968,low,O
33969,battery,O
33970,.,O
33971,Aircraft,O
33972,returning,O
33973,to,O
33974,home,O
33975,(,O
33976,Code,O
33977,:,O
33978,30184,O
33979,),O
33980,Critical,O
33981,low,O
33982,battery,O
33983,.,O
33984,Recharge,B-ACTION
33985,promptly,O
33986,(,O
33987,Code,O
33988,:,O
33989,30077,O
33990,),O
33991,Critical,O
33992,low,O
33993,battery,O
33994,.,O
33995,Return,B-ACTION
33996,to,O
33997,home,O
33998,or,O
33999,land,O
34000,promptly,O
34001,Critical,O
34002,low,O
34003,battery,O
34004,.,O
34005,Unable,O
34006,to,O
34007,take,O
34008,off,O
34009,.,O
34010,Recharge,B-ACTION
34011,promptly,O
34012,(,O
34013,Code,O
34014,:,O
34015,30032,O
34016,),O
34017,Current,B-PARAMETER
34018,elevation,O
34019,above,O
34020,nnn,O
34021,(,O
34022,nnn,O
34023,),O
34024,.,O
34025,Fly,B-ACTION
34026,with,O
34027,caution,O
34028,(,O
34029,Code,O
34030,:,O
34031,30153,O
34032,),O
34033,Current,B-PARAMETER
34034,elevation,O
34035,above,O
34036,nnn,O
34037,.,O
34038,Fly,B-ACTION
34039,with,O
34040,caution,O
34041,(,O
34042,Code,O
34043,:,O
34044,30152,O
34045,),O
34046,Data,B-PARAMETER
34047,Recorder,B-COMPONENT
34048,File,O
34049,Index,O
34050,is,O
34051,nnn,O
34052,"""",O
34053,Detected,O
34054,side,O
34055,/,O
34056,backward,O
34057,/,O
34058,forward,O
34059,shock,O
34060,/,O
34061,possible,O
34062,collision,O
34063,",",O
34064,aircraft,O
34065,is,O
34066,pitching,O
34067,/,O
34068,rolling,O
34069,sharply,O
34070,forward,O
34071,/,O
34072,backwards,O
34073,/,O
34074,left,O
34075,/,O
34076,right,O
34077,"""",O
34078,Downlink,B-COMPONENT
34079,data,O
34080,connection,O
34081,lost,O
34082,for,O
34083,nnn,O
34084,seconds,O
34085,Downward,O
34086,vision,O
34087,sensor,O
34088,error,O
34089,.,O
34090,Contact,B-ACTION
34091,DJI,B-PARAMETER
34092,Support,B-FUNCTION
34093,for,O
34094,assistance,O
34095,(,O
34096,Code,O
34097,:,O
34098,180016,O
34099,),O
34100,Downward,O
34101,vision,O
34102,sensor,O
34103,error,O
34104,.,O
34105,Contact,B-ACTION
34106,DJI,B-PARAMETER
34107,Support,B-FUNCTION
34108,for,O
34109,assistance,O
34110,(,O
34111,Code,O
34112,:,O
34113,180017,O
34114,),O
34115,Drone,B-COMPONENT
34116,is,O
34117,Vibrating,B-ACTION
34118,Ensure,I-ACTION
34119,control,B-COMPONENT
34120,sticks,I-COMPONENT
34121,are,O
34122,centered,B-STATE
34123,during,O
34124,takeoff,O
34125,(,O
34126,Code,O
34127,:,O
34128,30138,O
34129,),O
34130,Excessive,O
34131,gimbal,O
34132,vibration,O
34133,.,O
34134,Check,B-ACTION
34135,whether,O
34136,gimbal,O
34137,can,O
34138,rotate,O
34139,freely,O
34140,(,O
34141,Code,O
34142,:,O
34143,40004,O
34144,),O
34145,Exiting,B-ACTION
34146,GPS,O
34147,mode,O
34148,:,O
34149,Unknown,B-STATE
34150,Error,B-ISSUE
34151,Extra,B-PARAMETER
34152,payload,B-COMPONENT
34153,detected,O
34154,.,O
34155,Max,O
34156,altitude,O
34157,and,O
34158,distance,O
34159,set,O
34160,.,O
34161,Fly,B-ACTION
34162,with,O
34163,caution,O
34164,(,O
34165,Code,O
34166,:,O
34167,30232,O
34168,),O
34169,Extra,B-PARAMETER
34170,payload,B-COMPONENT
34171,detected,O
34172,.,O
34173,Max,O
34174,altitude,O
34175,set,O
34176,to,O
34177,nnn,O
34178,and,O
34179,max,O
34180,distance,O
34181,set,O
34182,to,O
34183,nnn,O
34184,to,O
34185,ensure,O
34186,flight,O
34187,safety,O
34188,(,O
34189,Code,O
34190,:,O
34191,30232)Extra,O
34192,payload,B-COMPONENT
34193,detected,O
34194,.,O
34195,Return,B-ACTION
34196,aircraft,O
34197,to,O
34198,an,O
34199,area,B-STATE
34200,nearby,O
34201,the,O
34202,home,O
34203,point,B-STATE
34204,promptly,O
34205,and,O
34206,fly,O
34207,in,O
34208,a,O
34209,wind,O
34210,-,O
34211,free,B-STATE
34212,environment,I-STATE
34213,to,O
34214,ensure,O
34215,flight,O
34216,safety,O
34217,(,O
34218,Code,O
34219,:,O
34220,30231,O
34221,),O
34222,Extra,B-PARAMETER
34223,payload,B-COMPONENT
34224,detected,O
34225,.,O
34226,Return,B-ACTION
34227,aircraft,O
34228,to,O
34229,an,O
34230,area,B-STATE
34231,nearby,O
34232,the,O
34233,home,O
34234,point,B-STATE
34235,promptly,O
34236,and,O
34237,fly,O
34238,in,O
34239,a,O
34240,wind,O
34241,-,O
34242,free,B-STATE
34243,environment,I-STATE
34244,to,O
34245,ensure,O
34246,flight,O
34247,safety,O
34248,(,O
34249,Code,O
34250,:,O
34251,30232,O
34252,),O
34253,Extra,B-PARAMETER
34254,payload,B-COMPONENT
34255,detected,O
34256,.,O
34257,Return,B-ACTION
34258,the,O
34259,aircraft,O
34260,to,O
34261,an,O
34262,area,B-STATE
34263,nearby,O
34264,the,O
34265,home,O
34266,point,B-STATE
34267,promptly,O
34268,to,O
34269,ensure,O
34270,flight,O
34271,safety,O
34272,(,O
34273,Code,O
34274,:,O
34275,30231,O
34276,),O
34277,File,O
34278,system,O
34279,error,O
34280,.,O
34281,Change,B-ACTION
34282,SD,B-PARAMETER
34283,card,O
34284,(,O
34285,Code,O
34286,:,O
34287,10025,O
34288,),O
34289,Flight,B-ACTION
34290,altitude,O
34291,exceeds,O
34292,nnn,O
34293,.,O
34294,Aircraft,O
34295,may,O
34296,be,O
34297,in,O
34298,violation,O
34299,of,O
34300,local,O
34301,laws,B-ISSUE
34302,and,O
34303,regulations,B-ISSUE
34304,.,O
34305,Check,B-ACTION
34306,and,O
34307,make,O
34308,sure,O
34309,you,O
34310,have,O
34311,obtained,O
34312,proper,O
34313,authorization,O
34314,to,O
34315,fly,O
34316,in,O
34317,this,O
34318,airspace,B-COMPONENT
34319,(,O
34320,Code,O
34321,:,O
34322,3000006,O
34323,),O
34324,Gimbal,B-COMPONENT
34325,calibrating,I-COMPONENT
34326,(,O
34327,Code,O
34328,:,O
34329,30217,O
34330,),O
34331,Gimbal,B-COMPONENT
34332,calibration,O
34333,error,O
34334,.,O
34335,Restart,B-ACTION
34336,aircraft,O
34337,or,O
34338,contact,O
34339,DJI,B-PARAMETER
34340,Support,B-FUNCTION
34341,if,O
34342,the,O
34343,issue,O
34344,persists,O
34345,(,O
34346,Code,O
34347,:,O
34348,40011,O
34349,),O
34350,Gimbal,B-COMPONENT
34351,IMU,B-PARAMETER
34352,data,O
34353,error,O
34354,.,O
34355,Contact,B-ACTION
34356,DJI,B-PARAMETER
34357,Support,B-FUNCTION
34358,for,O
34359,assistance,O
34360,(,O
34361,Code,O
34362,:,O
34363,40021,O
34364,),O
34365,Gimbal,B-COMPONENT
34366,motor,O
34367,overloaded,B-STATE
34368,.,O
34369,Check,B-ACTION
34370,whether,O
34371,gimbal,O
34372,can,O
34373,rotate,O
34374,freely,O
34375,(,O
34376,Code,O
34377,:,O
34378,40003,O
34379,),O
34380,Gimbal,B-COMPONENT
34381,Recenter,B-ACTION
34382,Gimbal,B-COMPONENT
34383,stuck,B-STATE
34384,.,O
34385,Check,B-ACTION
34386,whether,O
34387,gimbal,O
34388,lock,B-STATE
34389,is,O
34390,removed,B-ACTION
34391,and,O
34392,ensure,O
34393,gimbal,O
34394,can,O
34395,rotate,O
34396,freely,O
34397,(,O
34398,Code,O
34399,:,O
34400,40002,O
34401,),O
34402,GPS,O
34403,module,B-COMPONENT
34404,error,O
34405,.,O
34406,Restart,B-ACTION
34407,aircraft,O
34408,(,O
34409,Code,O
34410,:,O
34411,30049,O
34412,),O
34413,GPS,O
34414,signal,O
34415,low,O
34416,.,O
34417,Aircraft,O
34418,unable,O
34419,to,O
34420,auto,O
34421,hover,O
34422,and,O
34423,takeoff,O
34424,restricted,O
34425,.,O
34426,Move,B-ACTION
34427,to,O
34428,environment,B-STATE
34429,with,O
34430,adequate,B-STATE
34431,light,B-PARAMETER
34432,.,O
34433,Unlocking,B-ACTION
34434,takeoff,O
34435,restrictions,B-PARAMETER
34436,not,O
34437,recommended,B-STATE
34438,(,O
34439,Code,O
34440,:,O
34441,30239,O
34442,),O
34443,GPS,O
34444,signal,O
34445,weak,O
34446,.,O
34447,Fly,B-ACTION
34448,with,O
34449,caution,O
34450,.,O
34451,Aircraft,O
34452,in,O
34453,Altitude,B-PARAMETER
34454,Zone,B-COMPONENT
34455,.,O
34456,Max,O
34457,altitude,O
34458,set,O
34459,to,O
34460,nnn,O
34461,(,O
34462,Code,O
34463,:,O
34464,30014,O
34465,),O
34466,GPS,O
34467,signal,O
34468,weak,O
34469,.,O
34470,Hovering,B-ISSUE
34471,unstable,B-STATE
34472,.,O
34473,Fly,B-ACTION
34474,with,O
34475,caution,O
34476,(,O
34477,Code,O
34478,:,O
34479,30002,O
34480,),O
34481,GPS,O
34482,signal,O
34483,weak,O
34484,.,O
34485,Positioning,B-ACTION
34486,accuracy,B-PARAMETER
34487,affected,O
34488,.,O
34489,Fly,B-ACTION
34490,with,O
34491,caution,O
34492,(,O
34493,Code,O
34494,:,O
34495,30049,O
34496,),O
34497,Gyroscope,B-PARAMETER
34498,initialization,O
34499,failed,O
34500,.,O
34501,Restart,B-ACTION
34502,aircraft,O
34503,(,O
34504,Code,O
34505,:,O
34506,30045,O
34507,),O
34508,High,O
34509,altitude,O
34510,.,O
34511,Aircraft,O
34512,braking,B-ACTION
34513,distance,O
34514,increased,B-STATE
34515,and,O
34516,flight,O
34517,time,B-STATE
34518,decreased,O
34519,.,O
34520,Fly,B-ACTION
34521,with,O
34522,caution,O
34523,(,O
34524,Code,O
34525,:,O
34526,30238,O
34527,),O
34528,High,O
34529,Wind,B-COMPONENT
34530,Velocity,B-PARAMETER
34531,:,O
34532,Fly,B-ACTION
34533,with,O
34534,caution,O
34535,and,O
34536,ensure,O
34537,the,O
34538,aircraft,O
34539,remains,O
34540,within,O
34541,your,O
34542,line,O
34543,of,O
34544,sight,O
34545,"""",O
34546,High,O
34547,-,O
34548,altitude,O
34549,flight,O
34550,",",O
34551,aircraft,O
34552,braking,B-ACTION
34553,distance,O
34554,is,O
34555,extended,B-STATE
34556,",",O
34557,flight,O
34558,time,B-STATE
34559,is,O
34560,shortened,B-STATE
34561,.,O
34562,Fly,B-ACTION
34563,with,O
34564,caution,O
34565,(,O
34566,Code,O
34567,:,O
34568,30238,O
34569,),O
34570,"""",O
34571,Home,B-COMPONENT
34572,Point,B-STATE
34573,updated,B-ACTION
34574,.,O
34575,RTH,B-STATE
34576,altitude,O
34577,adjusted,B-ACTION
34578,to,O
34579,nnn,O
34580,(,O
34581,Code,O
34582,:,O
34583,120852,O
34584,),O
34585,Home,B-COMPONENT
34586,Point,B-STATE
34587,updated,B-ACTION
34588,.,O
34589,RTH,B-STATE
34590,altitude,O
34591,adjusted,B-ACTION
34592,to,O
34593,nnn,O
34594,(,O
34595,Code,O
34596,:,O
34597,3000001,O
34598,),O
34599,Homepoint,B-COMPONENT
34600,updated,B-ACTION
34601,Homepoint,B-COMPONENT
34602,updated,B-ACTION
34603,.,O
34604,RTH,B-STATE
34605,altitude,O
34606,adjusted,B-ACTION
